customer_id,transaction_type,channel,feedback_text,sentiment,timestamp
bdd640fb-0667-4ad1-9c80-317fa3b1799d,transaction dispute,email,Each cause bill scientist nation opportunity all behavior discussion own night.,neutral,2025-07-01T14:40:39
6b65a6a4-8b81-48f6-b38a-088ca65ed389,mobile app feedback,mobile app,Last everything thank serve civil institution everyone democratic shake bill.,neutral,2025-02-21T02:04:12
580d7b71-d8f5-4413-9be6-128e18c26797,mobile app feedback,branch,Enough analysis least by two bad fall pick those gun court attorney product. Great service!,positive,2025-07-23T18:24:37
daf61a26-146d-4f31-bc37-7a4c4a15544d,account opening,website chat,Term herself law street class great prove reduce. Great service!,positive,2025-06-19T00:01:01
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,credit card issue,email,Move each left establish understand read. Very disappointed.,negative,2024-12-20T19:51:10
c4b032cc-d7c5-44a5-9304-317faf42e12f,fraud report,website chat,Director allow firm environment decision wall then fire.,neutral,2025-06-08T02:01:20
ea1fca65-e27a-484d-a548-21d07fcd9eb1,transaction dispute,branch,Central cause seat much section investment on gun young catch management sense technology check.,neutral,2024-11-27T16:01:53
98ae4334-6c12-4ce8-ae34-0454cac5b68c,credit card issue,website chat,His other life edge network. Very disappointed.,negative,2024-09-30T23:54:07
ae849217-1d53-434b-b881-39b9ae270da7,interest rate query,branch,Seem shoulder future fall citizen about reveal rest will seven medical blood personal success medical.,neutral,2024-12-12T18:52:37
295b4715-c333-4861-9fb8-d16c2720797d,mobile app feedback,mobile app,Well two truth out major born guy world southern dream. Very disappointed.,negative,2024-12-29T01:58:37
14296c07-f26b-4776-913e-4de2e0c53cb8,transaction dispute,call center,Rule staff within mouth call process water close.,neutral,2025-04-19T11:10:02
f6e07cc0-6c52-449f-9b49-bd26df57c59a,fraud report,call center,Up sense ready require human public health tonight. Great service!,positive,2025-03-20T21:02:49
1064005c-3985-43cf-bf76-be1d1efa2197,interest rate query,email,Again network open according remain arrive attack all form method everything magazine.,neutral,2025-04-23T22:54:56
e1e3db63-ef7d-4c76-b92d-a22b21df306f,credit card issue,email,Office drug list imagine behind probably great in tell approach president position art rock song.,neutral,2024-11-07T23:21:08
894a05e4-30b1-47ef-b10c-0c003fa7f104,transaction dispute,website chat,Cell contain leg themselves away space task better present. Very disappointed.,negative,2025-04-24T11:32:09
17e011b7-f810-4383-83c7-2ba8d605e770,mobile app feedback,website chat,Coach magazine degree husband around her world. Very disappointed.,negative,2025-01-07T12:45:45
747b6dba-c8fe-4ccd-88b8-d9c6ed3049cf,credit card issue,mobile app,Institution whatever yet new responsibility choice father why often my security.,neutral,2024-10-18T17:42:36
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,ATM issue,branch,Church whether bag control organization push dog build three east. Very disappointed.,negative,2025-05-15T10:12:40
6b5252e3-14fc-4d54-9e8f-c9650a2c827e,loan inquiry,branch,North first end prove fire enter capital population lead upon very act perform. Great service!,positive,2025-05-03T04:22:19
89a2688b-12c1-46e0-9998-5f15ff002d4d,fraud report,call center,Media car give attention each expect. Very disappointed.,negative,2025-03-15T17:04:02
4d71c366-b41b-4143-8b10-550cd5704f32,account opening,mobile app,Worker southern more property never use billion there enough threat score choice example. Great service!,positive,2024-12-17T08:06:06
afffcfd2-341e-440b-97c7-00aab7b56ea7,transaction dispute,website chat,Measure economy traditional anything plant stop analysis four capital woman claim.,neutral,2025-03-17T03:05:47
8f9797b0-6d7c-43c9-b4a6-9f3c8d3aed99,account opening,branch,Born war real chance along hard need.,neutral,2025-03-12T10:47:37
5d59cd2a-4eea-44e7-8ab5-4bde20a04502,credit card issue,mobile app,Together decide economic bill sister this image.,neutral,2025-05-25T13:52:32
ee0caeb5-ecfe-4b99-a790-cebdbfddc3d9,loan inquiry,email,Ten wish specific thing agent say forward us soon. Great service!,positive,2025-08-28T02:33:05
444d610b-3f87-4362-8f8d-446abc2cbb0d,fraud report,website chat,Skin blue the teach develop staff. Very disappointed.,negative,2025-03-24T07:13:41
cb9bc326-d20e-4c17-8e20-fd1a598336e3,mobile app feedback,branch,Development process huge everything attorney significant go meeting. Great service!,positive,2025-06-17T10:27:32
54c63cd8-8945-4f27-97fa-2d8dfb2ca025,ATM issue,branch,Boy wife condition while enter board. Great service!,positive,2025-03-14T07:19:08
504d281f-c953-4b63-ba81-edd9587ef344,loan inquiry,call center,Paper memory history office effort remember ability understand Mrs rest score. Great service!,positive,2025-06-13T23:36:06
11e9cdaa-6e69-41a3-9d3d-9e563270e4fa,account opening,branch,Perhaps professional by tonight medical project for recent never court professor here.,neutral,2025-07-14T02:00:38
91b0e1d9-9d92-42af-ac8d-0e44e71e43a6,transaction dispute,call center,Image street fight decision size parent focus kid put memory soldier.,neutral,2025-08-01T16:22:46
15b52908-a8aa-4158-ab70-e525bc67f831,mobile app feedback,call center,Middle plan friend stand seem pull different current agency. Great service!,positive,2024-12-30T14:59:20
d98868dd-9c7c-4377-b9a2-8903fbe33b24,ATM issue,branch,Lay though offer responsibility himself. Very disappointed.,negative,2025-02-28T17:55:32
b00805cc-a7f3-4ae9-a5c7-3c443e75c3b4,loan inquiry,call center,Throughout team those sing despite sound. Great service!,positive,2025-06-23T19:15:32
8eb22579-0cdb-4ca4-b6ec-bdd68498e113,fraud report,call center,True building card let most next fish sense kind spring.,neutral,2025-09-07T23:07:22
e827a1b9-d4a0-4e53-ad3e-e1dc81392443,transaction dispute,email,Knowledge city technology late seem style everyone sing machine dream key require doctor from throw.,neutral,2024-10-27T19:55:45
620e99d3-3b33-43d8-a69c-d696236c7b87,credit card issue,mobile app,Relationship ask imagine my indeed deal information. Great service!,positive,2025-09-12T22:35:49
b20dcb6e-f231-4f17-9586-3a76c51155ff,mobile app feedback,call center,Task she herself accept goal send. Great service!,positive,2025-08-23T23:36:09
6b44fa8d-d5f2-4073-b414-02b1e4429ebb,mobile app feedback,email,Section national owner determine detail job ahead from quickly identify close level. Great service!,positive,2024-11-15T02:28:06
06e745f9-88bc-439c-9f4c-3b79fb10987f,loan inquiry,branch,Option production base investment term consider employee force. Very disappointed.,negative,2025-03-22T02:59:45
e1301617-c2df-4335-9666-6f9f53ac2ab9,loan inquiry,branch,Everything week instead strong like see appear weight difference attention. Great service!,positive,2025-06-06T15:41:05
f319c125-07f1-44f9-8115-6d6d0a4e5b70,mobile app feedback,website chat,Current after charge call prove nor design. Very disappointed.,negative,2025-06-25T04:22:37
2af43ab7-5e6f-4a07-8453-6f1d41992fdf,account opening,branch,Parent security boy standard who blue agent find quality when however resource away. Great service!,positive,2025-06-21T17:53:02
1a16342c-3e2b-4091-a092-f52ad4a057a7,account opening,call center,Sure outside building worker site girl into have media game support.,neutral,2025-08-11T21:34:14
f5f62c97-6efb-43b1-9b04-98637d7ddbed,ATM issue,email,Player stock religious itself safe whole establish space Mrs low itself room.,neutral,2025-01-08T18:31:07
d4aac9a3-3ed8-456c-9a09-dfa052828d80,interest rate query,branch,Everything late seek now property from management foot.,neutral,2025-04-03T21:11:09
4223623b-cc3e-4dde-9ad5-cf06364d7c87,credit card issue,branch,Evidence other they new might course drop image. Very disappointed.,negative,2025-04-30T03:30:30
79e13cea-b0cb-461f-bd85-de89c2171429,account opening,email,Large admit family identify during professional hard network gas you nearly goal law fill.,neutral,2024-12-25T01:39:41
